iter	Passed	Remaining
398	117824	29825
399	118085	29521
400	118371	29223
401	118649	28924
402	118931	28626
403	119268	28341
404	119577	28049
405	119931	27767
406	120312	27491
407	120667	27209
408	120967	26914
409	121247	26615
410	121536	26318
411	121805	26016
412	122084	25717
413	122379	25421
414	122660	25123
415	122973	24831
416	123304	24542
417	123608	24248
418	123928	23957
419	124248	23666
420	124567	23374
421	124887	23083
422	125186	22788
423	125483	22492
424	125794	22198
425	126058	21897
426	126330	21597
427	126596	21296
428	126869	20996
429	127136	20696
430	127401	20396
431	127670	20096
432	127924	19794
433	128190	19494
434	128465	19195
435	128743	18898
436	129065	18606
437	129376	18313
438	129678	18019
439	129984	17725
440	130305	17433
441	130337	17103
442	130659	16811
443	130978	16519
444	131268	16224
445	131559	15928
446	131855	15633
447	132130	15336
448	132413	15040
449	132700	14744
450	132996	14449
451	133324	14158
452	133639	13865
453	133917	13568
454	134189	13271
455	134520	12980
456	134863	12689
457	135130	12391
458	135417	12096
459	135712	11801
460	136029	11507
461	136349	11214
462	136650	10920
463	136945	10625
464	137248	10330
465	137533	10034
466	137827	9739
467	138106	9443
468	138387	9147
469	138682	8852
470	138962	8556
471	139232	8259
472	139483	7962
473	139745	7665
474	140033	7370
475	140339	7075
476	140646	6781
477	140950	6487
478	141221	6191
479	141506	5896
480	141802	5601
481	142069	5305
482	142385	5011
483	142648	4715
484	142947	4421
485	143274	4127
486	143552	3832
487	143875	3537
488	144284	3245
489	144641	2951
490	144995	2657
491	145348	2363
492	145704	2068
493	146018	1773
494	146301	1477
495	146589	1182
496	146895	886
497	147263	591
498	147542	295
499	147813	0
